,Graph,Degree
141,"[[1.00047436 0.95205851 1.0245652  ... 0.94734147 1.02680558 1.03726617]
 [1.02616468 0.98463726 0.91419216 ... 0.97590504 0.98633872 1.01339987]
 [0.98242073 1.02669269 1.02814991 ... 0.95822661 0.98911299 1.07006313]
 ...
 [0.98286963 1.0178162  1.01825394 ... 0.98800202 0.94777188 1.01845003]
 [1.00509134 0.99668347 0.98376566 ... 0.95263322 0.99418962 0.9765781 ]
 [0.92295253 0.91749786 0.98727157 ... 0.94367096 1.00241442 1.07377197]]",2
142,"[[1.03024262 0.96825488 0.91279229 ... 1.03603985 0.94189472 0.94899805]
 [1.00297045 1.07118732 0.99902325 ... 0.89616115 1.0118033  1.03449759]
 [0.98102668 1.04496847 0.95866631 ... 0.97497507 0.95862832 0.97835055]
 ...
 [1.03733804 1.00818346 1.04743075 ... 0.9597298  0.9830388  1.09287682]
 [1.00766827 0.97648536 0.98762272 ... 1.08880253 1.06640495 1.00246797]
 [1.06727895 1.02810444 0.96428938 ... 0.92357913 0.97431776 0.97123824]]",5
143,"[[1.02216976 1.04885307 0.99721019 ... 1.01491907 1.00364362 1.01709221]
 [0.96041664 0.91260199 0.9907827  ... 0.97700069 0.89943477 1.01456171]
 [1.03059548 1.0395451  0.9804824  ... 1.00239446 1.03795295 0.97503604]
 ...
 [0.95620609 1.05241714 0.94474908 ... 0.97170265 0.96879478 0.97526861]
 [1.00797757 0.97575478 1.00622556 ... 1.04843598 0.9901567  1.0645559 ]
 [0.92661538 1.01424704 0.95667296 ... 1.025553   0.93323155 1.03373024]]",2
144,"[[0.9963832  0.98214181 0.98970929 ... 0.99448301 0.94558255 0.91908913]
 [0.97935401 1.03159819 1.0792962  ... 1.00456302 1.026844   1.05205092]
 [0.98147883 1.02009322 1.04208796 ... 1.01823738 1.01500084 0.98776125]
 ...
 [0.97090829 0.94929477 1.02764245 ... 0.976198   1.03895985 0.99560191]
 [0.94644412 1.07057713 0.99273355 ... 0.98921535 1.00952344 0.95282234]
 [1.03557334 1.00575417 0.97953319 ... 1.02530097 0.96968255 0.96175858]]",5
145,"[[0.9660093  0.9816258  1.03300633 ... 0.96924555 1.01157321 1.01299583]
 [1.08627247 1.00479832 1.08722182 ... 1.00678872 1.01064905 1.04992021]
 [1.00601209 1.031984   1.05050859 ... 1.0111312  1.0218781  0.94780664]
 ...
 [0.97414796 0.97074168 1.05168926 ... 1.05928157 1.07112893 0.98771196]
 [0.96269348 1.02615338 1.01976312 ... 1.02162887 1.07592359 0.96833297]
 [1.10154232 1.03950355 1.01656664 ... 0.99852136 1.00392231 1.0105983 ]]",5
146,"[[0.96978429 1.02060128 0.98354126 ... 1.07459627 0.9708983  0.94884142]
 [1.01245475 0.97170516 1.04958004 ... 1.09941398 1.0096908  0.95813604]
 [0.97790674 1.02775007 0.98927587 ... 1.0322909  1.05534293 1.08305212]
 ...
 [1.02963419 0.99147782 1.00041642 ... 1.02757838 1.05962844 0.93502172]
 [0.97340186 1.00702558 0.96045096 ... 1.05582013 0.99881497 1.00880761]
 [0.99274341 0.9367453  0.90946271 ... 1.02233772 1.0243709  0.99591859]]",4
147,"[[1.03436092 1.04810424 1.02139792 ... 0.93567781 0.98206791 1.0138814 ]
 [1.02656492 1.0032478  1.02539668 ... 0.95466492 1.05611315 1.01801439]
 [0.99512974 1.0198849  1.01286903 ... 1.02620315 1.00470782 1.06201931]
 ...
 [0.98019368 0.9556295  1.03625282 ... 0.97369088 1.01626987 0.96669162]
 [1.0433621  1.00878433 0.98228818 ... 0.94175345 0.9972619  1.01713505]
 [0.97614341 1.02875605 1.02765412 ... 0.96849608 0.96266217 0.99258999]]",0
148,"[[1.07942003 1.02427221 1.05175209 ... 1.01821968 1.0375299  0.97102162]
 [1.00376056 1.03989885 1.00310309 ... 1.02092497 0.96321753 0.99138589]
 [1.01859335 0.98067316 0.96464879 ... 1.05094082 0.9990225  1.03995393]
 ...
 [1.05612975 0.98543376 0.97521637 ... 1.00118931 0.98731583 0.91675679]
 [0.98524469 1.02046345 0.96083382 ... 1.09198605 1.00328721 0.99729769]
 [1.01317148 1.04427607 1.03218104 ... 0.96463877 0.9983047  1.07217887]]",1
149,"[[0.99501093 0.9848261  1.03912316 ... 0.96698419 1.04577763 0.94012261]
 [1.09051722 1.05968268 0.97815122 ... 1.02933239 0.95540809 1.08003328]
 [1.00427805 0.94979332 0.96266616 ... 1.02896132 1.01543092 0.97558715]
 ...
 [0.98428207 0.98876714 1.03370638 ... 0.98647731 0.9602888  0.99774604]
 [0.96341054 0.96044167 1.07271331 ... 0.99278496 1.02722313 1.04787523]
 [1.01324861 0.95951289 1.04892842 ... 0.9169499  1.05488721 1.01889085]]",5
150,"[[0.95055725 0.93598859 1.01345139 ... 0.9477853  1.05527127 0.97715838]
 [0.96576799 1.0303418  1.00228059 ... 1.004581   1.04885526 1.05477553]
 [0.9817787  0.99303614 0.97019445 ... 0.9661803  1.04196491 0.98404589]
 ...
 [0.96079523 1.01190501 1.08775676 ... 0.92690078 1.00892922 1.02417819]
 [1.00890507 1.02692492 0.99615211 ... 0.99833771 1.03205373 1.04327326]
 [0.95816736 0.97223627 0.96932754 ... 1.03630475 1.08410554 0.98033938]]",1
151,"[[1.05127351 1.02008033 1.01008982 ... 0.98872691 0.98864928 1.04509344]
 [0.99684355 0.96484529 1.01527291 ... 1.07428789 0.97495798 0.89507783]
 [0.96629363 0.95709491 0.99858933 ... 1.00035131 1.00504074 1.06172937]
 ...
 [0.98470357 0.9887541  0.98542145 ... 0.96118517 1.03480351 0.9200283 ]
 [1.06014101 0.98661116 0.9863591  ... 0.98052882 1.02379186 0.94097039]
 [1.05451285 1.0064714  0.96515584 ... 0.99121203 0.93451453 1.03445873]]",1
152,"[[1.01440357 0.9489666  1.01734495 ... 0.93055078 0.99829371 1.07523608]
 [0.99782815 0.99862559 0.93363875 ... 0.98191953 0.95991015 0.9438689 ]
 [1.0088963  1.03806373 0.99831465 ... 0.95176504 1.05606649 0.97383355]
 ...
 [1.05004923 0.99080267 1.02672267 ... 0.94448431 1.08158568 1.06370756]
 [0.98667019 0.99268543 1.00325939 ... 1.04132126 1.02023455 1.03057717]
 [0.95556692 1.04360484 1.06293637 ... 1.01272867 0.98579625 1.04483737]]",5
153,"[[1.01508506 1.00346884 0.9953605  ... 0.99678936 0.99650068 1.02793146]
 [0.93720601 0.98837533 1.03156154 ... 1.03875077 1.08000192 1.02929308]
 [0.99576655 0.97216165 0.9864039  ... 0.98084985 0.98573047 0.9715033 ]
 ...
 [0.9763421  1.01349227 0.98055961 ... 0.98776587 1.0476128  0.9230197 ]
 [1.04508506 0.92301511 1.01334799 ... 0.97946886 0.9864757  0.97732162]
 [1.01557648 0.9382773  0.96511    ... 1.00950524 0.98566566 1.05734852]]",5
154,"[[0.98591921 1.01859836 0.99250227 ... 1.03924497 1.05714527 0.96298881]
 [1.00094134 1.01217683 1.05185654 ... 1.02505421 0.97843905 0.99560709]
 [0.93226464 1.09498462 1.02031314 ... 0.9758691  1.08701856 0.99342648]
 ...
 [1.00574272 0.98655716 1.02307486 ... 1.01626185 1.03280922 1.01731253]
 [0.98454524 1.0195468  0.9344497  ... 1.02589861 1.00541493 0.98203962]
 [0.95089803 1.02867335 0.94427005 ... 1.08569991 0.98959417 0.99478954]]",5
155,"[[1.07440059 1.06887517 0.97962566 ... 0.9788035  1.07095047 1.00351208]
 [1.00394141 1.02145933 0.97528696 ... 1.00441716 1.0039409  1.04016305]
 [1.00292355 1.04535703 1.02446886 ... 1.01591651 1.02685266 1.00190529]
 ...
 [0.98511786 0.98639092 0.96791902 ... 1.02356966 0.9532175  0.97742937]
 [1.03914307 0.98677887 0.96467012 ... 0.91773518 1.05342584 0.98317711]
 [0.95833151 1.03463078 1.01670135 ... 0.94959376 0.97494384 1.04008673]]",4
156,"[[1.01963512 1.02211484 1.04707222 ... 1.0063016  0.99301263 0.99294786]
 [0.99339743 1.00250753 0.97203501 ... 1.05723019 1.00570487 1.02827237]
 [0.99958379 1.0344893  0.99913783 ... 0.98713045 1.01879709 0.96022698]
 ...
 [0.97455876 1.01628705 0.9984242  ... 1.12045408 0.96141172 1.02012372]
 [1.04452429 0.92735169 1.00283984 ... 0.97196086 1.04402884 1.00548667]
 [1.02755565 0.9103655  0.92897028 ... 1.06641403 0.97952126 0.98837233]]",0
157,"[[0.9966205  0.96177784 1.01372868 ... 1.04829197 1.06082681 1.0630821 ]
 [0.99288944 0.95778432 0.98284171 ... 0.99075546 1.00896549 1.0563161 ]
 [1.03566382 0.95367238 1.02046727 ... 0.97298242 0.98441184 1.04700755]
 ...
 [0.9676142  1.00875197 0.99577579 ... 0.99402917 0.94220494 0.98609301]
 [1.00993818 0.95892799 1.04511838 ... 0.98189303 0.96780151 1.03681307]
 [1.03490632 0.97839508 1.05459982 ... 0.9841822  0.98369647 1.03811968]]",5
158,"[[1.02476034 1.00083008 1.0543177  ... 1.0108636  1.04548222 1.00836636]
 [0.96043519 1.01255171 1.01744425 ... 1.00738698 1.05686283 0.95966183]
 [0.97648623 0.9981435  0.95711233 ... 0.98140153 0.96708992 1.00670755]
 ...
 [1.07589028 0.96804968 0.9766895  ... 1.02593084 1.02527659 1.01840328]
 [0.95553488 0.96692643 0.94917523 ... 0.95963204 0.9983296  0.99401875]
 [0.91048275 1.02452754 1.02249547 ... 0.97546228 0.95244716 1.06357204]]",3
159,"[[0.9527428  0.91748384 1.00008874 ... 0.99964983 1.04210271 0.93873138]
 [0.97271288 1.06551649 1.02228997 ... 1.06566705 0.97005832 1.09611666]
 [0.98286492 0.95849608 1.02168069 ... 0.94836362 1.01862598 0.93694459]
 ...
 [0.98379331 1.08576618 0.97616051 ... 0.9871516  0.9867348  0.94933336]
 [0.99226251 0.97699547 0.98165476 ... 1.05916388 1.02998163 1.00377033]
 [0.99720667 1.00123725 1.00365033 ... 1.00936559 1.02556068 1.00428464]]",2
160,"[[0.99979211 1.04663826 1.07205298 ... 0.96953904 0.97465446 1.02372261]
 [0.98030159 0.9913768  0.98848553 ... 1.03216739 1.01720055 1.02373636]
 [0.99040977 0.99593771 1.07569484 ... 0.96730729 0.94398014 0.96948426]
 ...
 [1.01538417 0.98247808 1.02235235 ... 1.04744682 0.98555914 0.97363518]
 [1.02559906 0.98216213 0.95948372 ... 1.06306153 1.05650615 0.98656983]
 [1.05934214 0.97771863 1.02815271 ... 1.00541395 1.06472445 1.09444096]]",0
161,"[[1.0307254  0.9996851  1.02704498 ... 1.0003164  0.97487305 1.07633239]
 [1.03836175 1.06294545 1.03976425 ... 1.05222951 0.91901464 1.02508785]
 [0.97699945 1.04225338 0.99931227 ... 1.00633672 0.95445425 0.99101239]
 ...
 [0.96908794 0.9940781  0.93409803 ... 0.97749842 1.03864827 0.96397919]
 [0.98789351 0.98766046 0.94124963 ... 0.99934211 0.99586968 0.9736652 ]
 [0.9753298  0.99200235 0.99326824 ... 1.01452174 1.02611133 1.0290688 ]]",4
162,"[[0.95685698 0.9523127  0.96319986 ... 1.05773499 1.05013676 0.9591941 ]
 [1.00787011 1.05488125 0.9685488  ... 1.04525845 0.95772471 0.99050127]
 [1.09039503 0.95032063 0.92834169 ... 1.05567271 0.91555519 1.00094318]
 ...
 [1.00687936 1.06236795 0.95535229 ... 0.99451133 1.04413065 0.98971657]
 [1.01473147 0.96173275 1.05296992 ... 0.98972239 0.99986432 1.01216204]
 [1.01523419 0.97454141 0.97633034 ... 1.01599118 0.98656869 1.00797567]]",1
163,"[[0.99752562 0.981489   1.04768885 ... 1.01027571 1.01871777 0.9818201 ]
 [1.02010423 1.02672744 0.94634498 ... 0.98409381 1.06292132 1.01142996]
 [1.02904472 0.96131494 1.03562432 ... 0.98356344 1.0117596  1.05421437]
 ...
 [1.0125681  0.99558741 1.0308407  ... 1.04363774 1.054865   1.02556716]
 [1.01013636 0.95639361 1.03342446 ... 1.0742886  0.94789082 1.05337331]
 [0.90178336 1.00376721 1.0466227  ... 1.05046707 1.04868119 1.02310512]]",2
164,"[[1.01691023 1.03981506 0.99851779 ... 1.07211697 1.02182622 0.94494037]
 [0.96108315 1.04592644 0.9936337  ... 1.03839256 1.05095191 0.92393774]
 [1.04109098 1.03431246 1.01751473 ... 1.0561661  0.97899137 0.94791492]
 ...
 [1.1159561  0.99540508 0.961833   ... 0.99587753 1.02282544 0.94800042]
 [0.99214787 1.00158253 1.06505517 ... 1.06232706 0.996041   0.99139936]
 [1.03647975 1.01915469 1.02759063 ... 1.01293634 1.04291754 0.97147562]]",1
165,"[[0.89542484 1.02824675 0.9884093  ... 1.02188369 0.8704321  1.07994971]
 [1.05295327 1.01589334 1.02154125 ... 1.03131362 0.98334157 0.96894375]
 [0.98458797 0.98427865 0.99592925 ... 1.0501284  1.08249932 0.99445118]
 ...
 [1.02765042 1.01542532 0.96129406 ... 0.93000907 0.97572416 1.02374384]
 [0.96702904 0.97915904 1.0013693  ... 0.96627242 0.9914934  0.96640479]
 [0.98073866 0.96326086 1.0711891  ... 1.01925825 1.01138165 0.97543861]]",1
166,"[[0.89146214 1.00949248 1.01049147 ... 0.99863937 1.01867031 1.01081326]
 [1.07247286 0.9730801  0.99247127 ... 1.02459419 0.89879794 0.98336103]
 [1.06544215 0.99174235 0.96629875 ... 0.98254072 1.00920289 0.95701316]
 ...
 [0.97257125 1.02403115 0.97226538 ... 0.97739867 0.96190115 0.88679101]
 [1.00254366 0.96368593 1.0293578  ... 1.04420906 1.04782061 0.9695261 ]
 [1.02136695 1.08951834 1.09961286 ... 1.04052869 1.00132067 0.9070174 ]]",1
167,"[[0.93336161 0.97634428 0.93431365 ... 0.97092862 0.98453325 1.09504107]
 [1.04095062 1.05368934 1.01506244 ... 1.01504388 1.00707505 1.05290666]
 [1.0604657  0.97321501 0.94142014 ... 1.02582668 1.02003444 1.0318869 ]
 ...
 [1.03964304 1.02110765 1.01859076 ... 1.00780374 1.02642506 0.9682571 ]
 [1.0049612  1.00647175 0.98182405 ... 0.94727491 1.02719701 0.95244205]
 [1.0266814  1.06283015 1.0313842  ... 0.97743555 0.94882382 1.02392711]]",4
168,"[[1.01773036 1.01044187 0.9780349  ... 0.93463582 0.98713663 0.96532903]
 [0.96810764 0.98804068 0.93585244 ... 0.97514004 0.99261014 1.01346421]
 [1.05415159 0.99463463 1.00089918 ... 0.9883953  1.05295335 1.03267971]
 ...
 [1.03671169 1.08770234 1.07624038 ... 0.98989687 0.98880734 1.00918608]
 [1.0858607  1.07237236 1.03553126 ... 0.98205715 0.96404477 0.95155907]
 [0.9979675  0.95852734 1.04409682 ... 0.96014836 0.9981183  1.08177935]]",1
169,"[[0.98895421 1.0567056  0.96293801 ... 0.91046392 0.9785161  1.0273176 ]
 [0.97562504 0.99306026 0.93330255 ... 0.92790214 1.04429578 0.98730699]
 [1.05107062 0.97393882 1.0576406  ... 1.02956505 1.02761145 0.94102022]
 ...
 [0.97977079 1.02530768 1.00460657 ... 1.03346227 1.07178492 1.01145986]
 [1.05058174 0.99048655 0.96655487 ... 1.00198845 1.02037562 1.00368933]
 [0.95306172 0.99620207 1.0649572  ... 0.9903199  0.97572802 1.01879054]]",1
170,"[[0.88022235 1.0058425  1.00095834 ... 0.96356258 1.03569659 0.96783241]
 [0.93908933 0.98942575 1.00839566 ... 1.01747301 1.01677776 1.00222217]
 [1.02184003 0.9957401  1.00531101 ... 1.03912053 0.93038684 0.95484549]
 ...
 [1.01946106 1.02699726 0.99760313 ... 0.95079519 0.99364159 0.96950264]
 [0.98770562 0.97109082 1.01463707 ... 1.02679672 1.03908999 0.97728221]
 [0.94110136 1.00166429 0.94630499 ... 1.07810291 1.01216952 0.96182089]]",4
171,"[[1.04927066 1.01132593 0.99352226 ... 1.04559285 0.99815776 0.86885796]
 [1.0191085  1.03289042 1.04475358 ... 1.02213697 0.98945676 0.99005473]
 [0.9761953  1.03322632 0.98741416 ... 0.98520707 0.97767838 1.00632117]
 ...
 [1.08879988 1.07962823 1.00115177 ... 0.984639   0.93946697 0.99187207]
 [0.98955228 1.04513973 1.00872799 ... 1.04344551 0.92600665 1.02051716]
 [1.00714932 1.00536583 0.97702585 ... 1.02124072 1.00059667 1.01851553]]",2
172,"[[1.01947938 1.03172177 1.02228858 ... 0.97878245 1.01530033 1.04851494]
 [0.9660111  0.97069802 0.99518573 ... 1.02099794 1.10319367 0.8879728 ]
 [1.02090255 0.99183289 0.95538778 ... 0.9514229  0.95329917 0.96176732]
 ...
 [1.00069543 0.96584225 0.95529214 ... 0.95211457 1.05109553 1.05583824]
 [1.03508534 1.03415975 1.04064244 ... 0.94023067 0.93588123 0.98306315]
 [0.96617535 1.03600858 1.01218041 ... 1.00755592 0.99387003 1.04594148]]",0
173,"[[0.95856726 0.95532956 0.9891465  ... 0.99508414 0.98819193 0.9892222 ]
 [1.07892979 1.05448494 1.00832764 ... 0.98979138 0.95720396 1.05118883]
 [0.95912943 0.9717476  1.01586464 ... 0.98453892 1.0152856  0.98784257]
 ...
 [0.99234511 1.01678542 1.01446517 ... 1.03750772 0.9571952  0.97835799]
 [0.96576571 1.01302618 1.03550117 ... 1.06507536 0.95885067 1.00611692]
 [0.99079658 0.972445   1.0001748  ... 1.08333431 0.9485293  0.9484746 ]]",3
174,"[[0.96155636 1.02372294 1.06008322 ... 0.96449157 1.025062   0.99043644]
 [0.99169672 0.96621612 1.04737652 ... 1.02700868 1.01780476 0.92547577]
 [0.92019939 0.9929962  1.02881384 ... 0.96925163 1.06453612 1.00583074]
 ...
 [1.02673642 0.95387194 0.9672908  ... 0.96540962 1.00142607 1.00779682]
 [1.005915   0.96221108 0.99694893 ... 0.98216499 1.03442213 0.98851678]
 [1.05021009 1.00207208 1.00242775 ... 1.08153888 0.94067111 1.05315366]]",4
175,"[[1.02798081 1.00715562 1.04060085 ... 0.95962717 1.00374823 1.06280396]
 [1.07339344 1.06008134 1.0952782  ... 0.9658272  1.02431543 0.94496941]
 [1.00961407 1.02591526 0.99081749 ... 0.99944481 0.95522815 0.98042126]
 ...
 [1.0215881  0.97748943 1.01767234 ... 0.87038497 1.07373013 0.98300949]
 [1.02556232 1.0233737  0.99598759 ... 0.96176699 1.00781546 1.07946966]
 [1.03083777 0.98516287 0.95559428 ... 1.00593851 0.97984952 1.04778857]]",1
176,"[[1.00274571 1.02009199 0.98322435 ... 0.97827103 0.95565131 0.99534446]
 [1.00719979 1.01303775 1.03178837 ... 1.01654526 0.97576334 0.98453555]
 [1.01931542 1.0330605  0.94297708 ... 1.00988816 1.00784496 1.00474413]
 ...
 [1.00092513 0.99224916 1.00776218 ... 0.97499377 0.97667061 0.96346928]
 [1.03458809 1.00639414 1.03264529 ... 0.99663568 0.9913006  0.93888334]
 [1.0048888  0.92549851 1.00245444 ... 0.97562302 1.02519622 0.94065858]]",2
177,"[[0.97625625 1.05825292 0.99545462 ... 0.93551674 0.99481121 1.04908849]
 [0.98131961 0.99666496 0.9689127  ... 0.9885163  0.95821445 1.00921042]
 [0.97444635 0.98882201 1.00121124 ... 1.04854019 1.04304609 0.99920028]
 ...
 [1.0121355  0.9900915  0.97965513 ... 0.96603364 1.00743263 0.97953963]
 [1.00241506 0.98567018 1.06421888 ... 1.02458735 1.03722716 0.97020911]
 [1.01982035 0.96204489 0.99515478 ... 0.90739068 0.99187518 1.00095588]]",5
178,"[[1.02477373 1.08460705 0.98255012 ... 1.02619655 0.94629423 0.97311897]
 [0.94916854 0.96717885 0.94892996 ... 1.03073691 0.97453442 1.07203474]
 [1.02664121 0.99222619 1.00961566 ... 0.93800965 0.98534925 0.99325999]
 ...
 [0.98822884 1.11346806 1.02285372 ... 1.01526885 1.03101327 1.05691449]
 [0.98520705 0.98777073 0.99157234 ... 1.08645631 1.03290941 0.92295328]
 [0.9451677  1.03595477 1.0206565  ... 0.9896618  1.04204653 0.93302127]]",2
179,"[[1.00873747 0.92463224 0.99587219 ... 0.93137082 1.00806148 1.01493832]
 [0.95265038 0.99742755 0.96298322 ... 0.99668645 0.99395612 1.06676503]
 [1.02693162 1.008496   1.06324951 ... 0.94261917 0.99510086 0.98499067]
 ...
 [1.03862364 1.00222432 0.93704135 ... 1.0021754  0.95920125 1.0158101 ]
 [1.00115781 1.00418442 0.98315409 ... 1.0454075  0.93228886 1.03841345]
 [0.95117374 0.93767343 1.0341525  ... 1.03100446 1.02549735 0.97911155]]",4
180,"[[0.96047258 0.92570873 0.99361924 ... 1.004113   1.05684245 0.90517716]
 [1.00728483 1.03608362 1.00391197 ... 0.98858087 0.97568881 0.936842  ]
 [0.91352903 1.01530351 0.99258318 ... 0.9875446  0.91054823 0.97643356]
 ...
 [1.01010444 1.00844656 1.03173374 ... 0.96192023 1.06008848 0.95808148]
 [0.97517063 1.02449078 1.01508615 ... 1.03660921 0.98269128 1.04605291]
 [0.9489091  1.01188246 1.04601801 ... 1.02062192 1.03711336 0.99165839]]",5
181,"[[0.99883354 0.97376209 1.0472025  ... 1.12564913 1.00396564 1.0165544 ]
 [1.01490343 0.93694598 0.98242479 ... 0.96444224 1.01083511 1.00576639]
 [1.00718222 1.02419941 1.01695275 ... 1.04378825 0.98741206 0.96065976]
 ...
 [1.04418547 0.95993022 1.01358856 ... 0.97180858 0.96562197 1.01535039]
 [1.04911619 1.03756018 1.04525898 ... 1.01634912 1.0164548  1.00174944]
 [0.96333015 0.98127658 0.96225266 ... 0.97787662 0.94488053 1.04916004]]",2
182,"[[1.02458075 0.92094863 0.9568687  ... 0.93962625 0.98906588 0.94655499]
 [1.00127718 0.98883836 0.98015785 ... 0.9867366  0.97392412 1.01507757]
 [1.05833803 1.05103438 0.89172236 ... 1.04263459 0.9644686  1.06376151]
 ...
 [0.99222388 1.04681164 0.99515873 ... 0.9028067  0.94882361 0.96199574]
 [1.03586233 0.97216586 0.94286769 ... 1.05086782 0.8955634  0.97053182]
 [1.00940386 1.05445783 0.99410359 ... 1.08688024 1.03776837 0.97690851]]",4
183,"[[0.97413016 0.98381858 1.06315261 ... 1.00903051 0.99874038 1.0422967 ]
 [0.99242653 1.02863724 1.03849938 ... 0.97578398 0.9952918  0.96670713]
 [1.05805519 0.97819132 0.98735991 ... 0.97929333 1.04288279 0.99084953]
 ...
 [0.9579178  1.03041304 0.92800685 ... 0.96785369 0.96860547 0.92353519]
 [0.99901477 1.01289365 0.98576976 ... 0.99350195 0.97770322 1.01804352]
 [0.94522199 1.08949076 0.95236203 ... 0.96090291 1.08807377 1.06924715]]",0
184,"[[0.99877762 1.03357856 0.99607874 ... 1.05453615 1.03321589 1.03916222]
 [0.99794188 1.01105174 1.01751184 ... 1.0668964  1.05140645 0.93027684]
 [0.89802057 1.00432554 0.99526778 ... 1.02850491 0.94370415 0.93472226]
 ...
 [0.94021507 0.99069408 0.97391971 ... 1.03450309 1.06838149 0.99896002]
 [1.03828943 1.05496273 1.0242037  ... 1.02204117 1.05459579 0.95881492]
 [0.92045863 1.0245866  0.97120463 ... 0.97825134 0.98235322 1.01265814]]",3
185,"[[0.92486447 0.96943696 1.01233973 ... 0.97481631 0.94927216 0.98134338]
 [1.01524209 1.04053384 1.0257797  ... 1.05388815 0.95457995 1.02789156]
 [1.00638714 1.01050718 0.97234129 ... 1.0300128  1.01662575 0.98579481]
 ...
 [1.0361309  0.97223317 1.03300476 ... 1.0027815  0.96514527 1.02842007]
 [0.99769166 1.00358841 0.97073793 ... 1.00453894 1.05154803 1.03696889]
 [0.95083844 1.04501929 0.94694467 ... 0.99709856 1.00605473 1.0295335 ]]",5
186,"[[0.99794207 0.99862978 1.00765539 ... 1.01343525 1.01201035 1.02450561]
 [0.97911832 0.99482631 1.02051031 ... 0.9630804  0.93429203 1.00305861]
 [1.04325858 0.91697525 1.02566784 ... 1.00103489 1.03637566 1.03687384]
 ...
 [1.01111416 1.07325582 0.97858087 ... 0.95738274 1.03849853 1.00582457]
 [1.06158766 1.01684355 0.9458764  ... 0.99188976 1.06565213 0.96987255]
 [1.00498492 0.95444552 0.97490655 ... 1.01026043 0.97129598 1.01141088]]",2
187,"[[1.05336685 0.96863678 0.94480632 ... 1.04352385 0.96979331 1.07178667]
 [0.90795904 0.92132065 1.01909514 ... 1.00483056 0.98442099 0.98764026]
 [0.95783012 0.93371893 1.02269453 ... 0.97378194 0.97435781 0.96936777]
 ...
 [0.96861896 1.05823851 0.96710836 ... 0.98240127 0.99542363 1.05665957]
 [0.98085223 0.96410631 0.96877662 ... 0.95080622 1.03015531 0.97110204]
 [0.93270597 1.01864011 0.94600022 ... 1.0378078  0.98529706 0.9602193 ]]",0
188,"[[1.01035182 0.98181345 1.09373084 ... 0.96066273 1.0320332  0.94256521]
 [1.04416279 0.93132304 1.02837357 ... 1.04148477 1.01135027 0.99729627]
 [1.03842071 1.02752717 1.02294909 ... 0.98242747 1.01017953 1.0434843 ]
 ...
 [1.00025392 1.09604751 0.99103894 ... 1.00954713 0.98326045 0.95693724]
 [1.04725251 1.01760922 0.97242352 ... 1.03551107 1.03190367 1.03829355]
 [1.02339399 1.0160904  0.97761308 ... 1.0763345  0.91998215 0.98121894]]",2
189,"[[0.93696894 1.06854592 1.02118806 ... 0.97041214 1.01712795 0.9697946 ]
 [1.00296066 1.00756475 1.04073263 ... 0.92266273 1.01254058 1.09566169]
 [0.9936903  0.97583544 0.96095096 ... 1.06876474 0.9506302  0.95411636]
 ...
 [1.00464397 0.98118171 0.99591383 ... 1.04617157 1.03975208 1.01201236]
 [1.04065329 1.03036803 1.00466726 ... 1.03340581 0.95810543 1.03194125]
 [1.03862135 1.04128878 0.96748723 ... 0.99613877 1.07108058 1.03599941]]",5
190,"[[1.03741517 1.02673905 1.00577542 ... 1.02933104 1.09526917 1.00886867]
 [0.96913125 0.97600467 1.01249135 ... 1.05922724 1.05628778 1.00037509]
 [1.01562882 0.97869592 1.00011117 ... 1.05620346 0.97597    0.97933171]
 ...
 [0.9977403  0.94153055 0.95753569 ... 1.0054445  0.99722038 0.9986178 ]
 [0.97158422 1.0001933  1.04040909 ... 1.01740567 0.9228917  0.97524068]
 [1.0204871  1.01487597 0.98216304 ... 1.00860734 1.05165888 1.03963311]]",1
191,"[[0.96981446 1.09653031 1.06619783 ... 0.98841759 1.03364125 1.00917841]
 [1.00673097 1.04007811 1.00131121 ... 1.03814421 1.06079426 0.98093321]
 [0.97889097 0.96554746 0.98071854 ... 1.00079367 1.00295053 1.04845412]
 ...
 [1.01939355 0.96367112 1.00970236 ... 0.97692801 1.01171808 1.01072801]
 [1.06974054 0.93924266 0.92856532 ... 1.00356095 0.96756889 0.96459138]
 [0.98918777 0.95344038 0.92918866 ... 1.08702628 1.09837012 1.00921825]]",3
192,"[[1.04553046 0.96203289 0.95082676 ... 0.9722164  1.02725252 0.99150685]
 [0.87858693 0.95750863 1.06624284 ... 1.02722284 1.03849483 0.92600192]
 [1.03847181 1.02843316 1.05338305 ... 1.01620588 0.92653406 1.04004828]
 ...
 [1.06142277 1.09514265 0.97905309 ... 1.05507798 1.04052074 0.91480108]
 [0.92763912 0.97611103 1.02801836 ... 1.09693324 0.96493431 1.02914055]
 [1.02675242 1.03427843 1.02897273 ... 1.03097852 0.97029273 1.06399558]]",4
193,"[[1.02888084 0.96613728 1.03934663 ... 0.99491847 1.01523612 1.00576807]
 [1.01143781 1.01115249 1.01694793 ... 1.02886007 1.00662432 0.9767354 ]
 [1.10268868 1.05782646 0.99641963 ... 0.97291167 0.98838152 1.0266398 ]
 ...
 [0.98584134 1.06695598 1.04644122 ... 0.99569812 1.05264671 1.07517792]
 [0.9235502  1.02523518 1.04155389 ... 0.9679615  1.08313551 0.99223795]
 [0.95262759 1.03071239 0.92248797 ... 1.00871826 0.9666162  0.95523311]]",5
